Client ID,Name,Risk Score,Debt Burden Score,Liquidity Risk Score,Credit Utilization Score,Asset Backing Score,Tenure Risk Score
IND81288,Raymond Mills,58.72,100.0,29.44811936123408,1.2855116491036584,90.97116641529617,70.0
IND65833,Julia Spencer,65.14,100.0,81.43154043995519,1.5573587543862561,94.73127664082092,0.0
IND47499,Stephen Murray,57.74,100.0,41.16405400807474,5.377036886347816,88.7293217214177,25.0
IND72498,Virginia Garza,44.57,71.39985411206041,8.502288443729134,2.3570092058725907,99.85677657657538,70.0
IND60181,Melissa Sanders,69.73,100.0,80.51016430788856,5.7829415091291,99.4122169624099,35.0
IND78532,Samuel Hudson,64.72,100.0,47.0383602449638,8.702260245678586,92.20204979241996,70.0
IND95683,Timothy Alexander,61.62,100.0,82.63261859039372,3.3483051886521786,52.934460545367166,0.0
IND40785,Carl Martin,71.38,100.0,94.43858922920272,14.05458359052787,99.55285118997584,0.0
IND13570,Philip Day,56.77,100.0,27.0469900338413,0.17898798934131305,99.75329303272302,50.0
IND53299,Jason Sims,62.45,100.0,72.02481805153162,14.798553940255802,64.8204437138461,0.0
IND76263,Amy Martinez,63.45,100.0,90.35816779371142,1.316107685952034,10.969123962104044,44.99999999999999
IND56452,David Johnston,49.12,100.0,16.17196088083417,0.7045191767431686,99.33428501359512,0.0
IND28766,Wayne Foster,68.72,100.0,73.13232830017242,8.743398209520658,71.90835338205991,65.0
IND17897,Carlos Moore,63.13,100.0,66.02058317817992,8.37606656274074,99.52259364032867,0.0
IND86325,Lisa Johnston,74.59,100.0,91.29087542166172,2.1981527737420463,88.23872096462811,75.0
IND74197,Andrew Mills,77.41,100.0,93.11403867123795,12.376661310856846,86.55400045864366,80.0
IND28503,Jack Coleman,49.75,100.0,0.0,6.700414304250361,89.06464533664975,44.99999999999999
IND56539,Aaron Day,59.51,80.39093494334941,87.63757173987744,2.6012365434023854,14.451944260062788,75.0
IND53604,Kevin Weaver,79.13,100.0,92.5796236946621,31.30260991694027,77.2207710535859,70.0
IND32064,Mary Fox,62.12,100.0,65.14146902918795,0.6130130214515815,87.12034338099453,19.999999999999996
IND72934,Carlos Little,72.98,100.0,95.44776857428099,3.6680042692291686,58.824458216105,75.0
IND16101,Roger Boyd,69.72,100.0,82.79514645877462,4.515651005112129,81.1567106526477,50.0
IND93121,Aaron Marshall,53.43,53.85791030022331,81.02104780908327,2.893482776609334,97.41606150963672,40.0
IND93310,Cheryl Stewart,63.63,100.0,39.746209502992926,8.091668902632179,90.70341034578868,80.0
IND71301,Anne Nguyen,78.65,100.0,85.39313831332042,21.579939545091843,99.8348296851611,80.0
IND21279,Christopher Evans,57.59,100.0,61.11665280263774,2.0106389615640663,29.05826140302562,40.0
IND98618,Maria Clark,63.56,100.0,53.09049570593978,4.236160731954119,99.36190441031741,44.99999999999999
IND35589,Jimmy Simpson,71.63,100.0,84.708356926256,2.8813695468832186,83.73321110316027,65.0
IND40198,Louise Sanders,58.97,100.0,52.370789257943606,4.732266994691015,99.30978387086846,0.0
IND49616,Angela Alvarez,65.34,100.0,59.25462907587607,0.3371548004912348,99.55356685987677,55.00000000000001
IND55475,Henry Grant,48.65,100.0,0.0,20.607998591600555,55.243246182044125,40.0
IND61272,Larry Foster,64.25,100.0,45.94050623538853,1.5308027498087697,99.59441403218914,75.0
IND33884,Carol GoPKRalez,65.43,100.0,51.97732817136771,3.161260813098247,88.01794695820891,80.0
IND53121,Timothy Stanley,71.95,100.0,87.989935249157,5.563906640177046,58.42445962322906,80.0
IND25680,Billy Wilson,66.89,100.0,65.66935319709715,5.370702874924829,83.97526287445268,60.0
IND55454,Kathleen Riley,47.2,70.27089084656674,43.26365536066849,3.7280217509410485,50.44851647177755,60.0
IND96454,Bobby Jenkins,46.01,100.0,0.0,14.60023530559314,35.92728046813759,44.99999999999999
IND14292,Arthur Burns,41.56,100.0,0.0,0.997448580190371,63.60226351716194,0.0
IND67206,Lawrence Richardson,52.31,100.0,26.65319353707487,2.1288913835414394,67.17599853545795,35.0
IND90177,Julia Roberts,41.11,85.00759978794967,0.0,4.75730679667512,99.04799307321633,5.000000000000004
IND60970,Philip Fisher,39.63,59.24035241076834,57.44303189467621,0.005983598486632031,45.37540621774535,0.0
IND24003,Jeffrey Taylor,75.8,100.0,86.26406309762729,12.681399303355908,91.95485378781079,75.0
IND87800,Mark Mccoy,53.0,100.0,28.5545516993869,0.4809124271667694,92.62761757609763,15.000000000000002
